pmid	annotator	start_idx	end_idx	location	text_span	label	uri
35654142	expert_3	74	120	title	human microbiome-associated functional amyloids	chemical	http://purl.obolibrary.org/obo/CHEBI_64645
35654142	expert_3	4	17	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
35654142	expert_3	82	100	abstract	Parkinson's disease	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
35654142	expert_3	103	104	abstract	PD	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
35654142	expert_3	112	151	abstract	Escherichia coli functional amyloid CsgA	gene	https://uts.nlm.nih.gov/uts/umls/concept/C0210303
35654142	expert_3	220	230	abstract	PD symptoms	DDF	http://purl.obolibrary.org/obo/NCIT_C26845
35654142	expert_3	235	238	abstract	mice	animal	http://purl.obolibrary.org/obo/NCIT_C45247
35654142	expert_3	359	362	abstract	CsgA	gene	https://uts.nlm.nih.gov/uts/umls/concept/C0210303
35654142	expert_3	506	518	abstract	CsgA homologs	gene	https://uts.nlm.nih.gov/uts/umls/concept/C0210303
35654142	expert_3	555	570	abstract	human microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000002
35654142	expert_3	579	591	abstract	CsgA homologs	gene	https://uts.nlm.nih.gov/uts/umls/concept/C0210303
35654142	expert_3	876	902	abstract	gut bacterial CsgA homologs	gene	https://uts.nlm.nih.gov/uts/umls/concept/C0210303
35654142	expert_3	1004	1007	abstract	CsgA	gene	https://uts.nlm.nih.gov/uts/umls/concept/C0210303
35654142	expert_3	1228	1229	abstract	PD	DDF	http://purl.obolibrary.org/obo/NCIT_C26845


32816830	expert_3	5	13	title	Fibre-fix	dietary supplement	http://purl.obolibrary.org/obo/NCIT_C1502
32816830	expert_3	27	32	title	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
32816830	expert_3	39	62	title	irritable bowel syndrome	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104
32816830	expert_3	126	139	title	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
32816830	expert_3	169	211	title	double-blinded, randomised controlled trial	statistical technique	https://uts.nlm.nih.gov/uts/umls/concept/C5548274
32816830	expert_3	126	137	abstract	gut symptoms	DDF	http://purl.obolibrary.org/obo/NCIT_C4876
32816830	expert_3	142	147	abstract	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
32816830	expert_3	154	177	abstract	irritable bowel syndrome	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104
32816830	expert_3	180	182	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104
32816830	expert_3	264	277	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463
32816830	expert_3	316	326	abstract	large bowel	anatomical location	http://purl.obolibrary.org/obo/NCIT_C57833
32816830	expert_3	364	386	abstract	short-chain fatty acids	chemical	http://purl.obolibrary.org/obo/CHEBI_26666
32816830	expert_3	389	393	abstract	SCFAs	chemical	http://purl.obolibrary.org/obo/CHEBI_26666
32816830	expert_3	405	412	abstract	butyrate	chemical	http://purl.obolibrary.org/obo/CHEBI_17968
32816830	expert_3	530	538	abstract	Fibre-fix	dietary supplement	http://purl.obolibrary.org/obo/NCIT_C1502
32816830	expert_3	603	616	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
32816830	expert_3	704	709	abstract	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
32816830	expert_3	716	718	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104
32816830	expert_3	849	857	abstract	Fibre-fix	dietary supplement	http://purl.obolibrary.org/obo/NCIT_C1502
32816830	expert_3	988	995	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
32816830	expert_3	1002	1004	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104
32816830	expert_3	1007	1018	abstract	Participants	human	https://uts.nlm.nih.gov/uts/umls/concept/C0679646
32816830	expert_3	1297	1313	abstract	faecal microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000003
32816830	expert_3	1342	1345	abstract	SCFA	chemical	http://purl.obolibrary.org/obo/CHEBI_26666
32816830	expert_3	1431	1442	abstract	participants	human	https://uts.nlm.nih.gov/uts/umls/concept/C0679646
32816830	expert_3	1466	1486	abstract	Multivariate analysis	statistical technique	https://uts.nlm.nih.gov/uts/umls/concept/C0026777
32816830	expert_3	1516	1529	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
32816830	expert_3	1535	1580	abstract	repeated measures Analysis of variance (ANOVA)	statistical technique	http://purl.obolibrary.org/obo/NCIT_C53241
32816830	expert_3	1650	1663	abstract	bowel symptoms	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104
32816830	expert_3	2027	2038	abstract	Participants	human	https://uts.nlm.nih.gov/uts/umls/concept/C0679646
32816830	expert_3	2116	2124	abstract	Fibre-fix	dietary supplement	http://purl.obolibrary.org/obo/NCIT_C1502
32816830	expert_3	2170	2194	abstract	gut microbial composition	microbiome	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/IntestinalMicrobiome


30659564	expert_7	51	64	title	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463
30659564	expert_7	70	90	title	psychiatric disorders	DDF	http://purl.obolibrary.org/obo/NCIT_C2893
30659564	expert_7	155	168	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
30659564	expert_7	336	349	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463
30659564	expert_7	355	370	abstract	mental disorders	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0004936
30659564	expert_7	751	764	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
30659564	expert_7	789	795	abstract	obesity	DDF	http://purl.obolibrary.org/obo/NCIT_C3283
30659564	expert_7	801	839	abstract	inflammatory gastrointestinal disorders	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0851377
30659564	expert_7	918	931	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463
30659564	expert_7	937	952	abstract	mental disorders	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0004936
30659564	expert_7	978	987	abstract	depression	DDF	http://purl.obolibrary.org/obo/NCIT_C124639
30659564	expert_7	993	1006	abstract	chronic stress	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C1510527


38283894	expert_5	21	28	title	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	34	44	title	adolescents	human	https://www.ncbi.nlm.nih.gov/mesh/D000293
38283894	expert_5	51	75	title	autism spectrum disorders	DDF	http://purl.obolibrary.org/obo/OGMS_0000045
38283894	expert_5	81	96	title	healthy controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	121	134	title	trace elements	chemical	http://purl.obolibrary.org/obo/NCIT_C896
