pmid	annotator	subject_start_idx	subject_end_idx	subject_location	subject_text_span	subject_label	subject_uri	predicate	object_start_idx	object_end_idx	object_location	object_text_span	object_label	object_uri
35654142	expert_3	220	230	abstract	PD symptoms	DDF	http://purl.obolibrary.org/obo/NCIT_C26845	target	235	238	abstract	mice	animal	http://purl.obolibrary.org/obo/NCIT_C45247


32816830	expert_3	39	62	title	irritable bowel syndrome	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	target	27	32	title	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
32816830	expert_3	154	177	abstract	irritable bowel syndrome	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	target	142	147	abstract	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
32816830	expert_3	180	182	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	target	142	147	abstract	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
32816830	expert_3	716	718	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	target	704	709	abstract	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
32816830	expert_3	1002	1004	abstract	IBS	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0022104	target	988	995	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361


30659564	expert_7	51	64	title	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	70	90	title	psychiatric disorders	DDF	http://purl.obolibrary.org/obo/NCIT_C2893
30659564	expert_7	336	349	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	355	370	abstract	mental disorders	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0004936
30659564	expert_7	336	349	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	937	952	abstract	mental disorders	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0004936
30659564	expert_7	751	764	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020	is linked to	789	795	abstract	obesity	DDF	http://purl.obolibrary.org/obo/NCIT_C3283
30659564	expert_7	751	764	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020	is linked to	801	839	abstract	inflammatory gastrointestinal disorders	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0851377
30659564	expert_7	918	931	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	937	952	abstract	mental disorders	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0004936
30659564	expert_7	918	931	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	978	987	abstract	depression	DDF	http://purl.obolibrary.org/obo/NCIT_C124639
30659564	expert_7	918	931	abstract	gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	is linked to	993	1006	abstract	chronic stress	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C1510527


38283894	expert_5	51	75	title	autism spectrum disorders	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	21	28	title	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	51	75	title	autism spectrum disorders	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	34	44	title	adolescents	human	https://www.ncbi.nlm.nih.gov/mesh/D000293
38283894	expert_5	121	134	title	trace elements	chemical	http://purl.obolibrary.org/obo/NCIT_C896	located in	21	28	title	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	121	134	title	trace elements	chemical	http://purl.obolibrary.org/obo/NCIT_C896	located in	34	44	title	adolescents	human	https://www.ncbi.nlm.nih.gov/mesh/D000293
38283894	expert_5	121	134	title	trace elements	chemical	http://purl.obolibrary.org/obo/NCIT_C896	located in	81	96	title	healthy controls	human	https://uts.nlm.nih.gov/uts/umls/concept/C0009932
38283894	expert_5	0	23	abstract	Autism spectrum disorder	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	21	28	title	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	0	23	abstract	Autism spectrum disorder	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	34	44	title	adolescents	human	https://www.ncbi.nlm.nih.gov/mesh/D000293
38283894	expert_5	26	28	abstract	ASD	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	21	28	title	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
38283894	expert_5	26	28	abstract	ASD	DDF	http://purl.obolibrary.org/obo/OGMS_0000045	target	34	44	title	adolescents	human	https://www.ncbi.nlm.nih.gov/mesh/D000293
38283894	expert_5	412	425	abstract	trace elements	chemical	http://purl.obolibrary.org/obo/NCIT_C896	located in	459	466	abstract	children	human	https://uts.nlm.nih.gov/uts/umls/concept/C0680063
