pmid|annotator|start_idx|end_idx|location|text_span|label|uri
38068763|expert_3|74|92|title|Depressive Symptoms|DDF|http://purl.obolibrary.org/obo/OMIT_0005141
38068763|expert_3|97|104|title|Patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
38068763|expert_3|45|52|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
38068763|expert_3|65|84|abstract|mental deterioration|DDF|https://uts.nlm.nih.gov/uts/umls/concept/C0234985
38068763|expert_3|155|164|abstract|probiotics|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
38068763|expert_3|226|231|abstract|people|human|https://uts.nlm.nih.gov/uts/umls/concept/C0027361
38068763|expert_3|251|264|abstract|mood disorders|DDF|http://purl.obolibrary.org/obo/NCIT_C92200
38068763|expert_3|376|394|abstract|Depressive symptoms|DDF|http://purl.obolibrary.org/obo/OMIT_0005141
38068763|expert_3|424|441|abstract|bariatric patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
38068763|expert_3|574|582|abstract|probiotic|dietary supplement|https://uts.nlm.nih.gov/uts/umls/concept/C0525033
38068763|expert_3|609|618|abstract|vegetables|food|http://purl.obolibrary.org/obo/NCIT_C178192
38068763|expert_3|624|642|abstract|whole grain cereals|food|https://uts.nlm.nih.gov/uts/umls/concept/C4046096
38068763|expert_3|691|703|abstract|simple sugars|chemical|http://purl.obolibrary.org/obo/CHEBI_35381
38068763|expert_3|709|711|abstract|SFA|chemical|http://purl.obolibrary.org/obo/CHEBI_26607
38068763|expert_3|735|739|abstract|DQI-I|biomedical technique|https://w3id.org/XXXX/ontology/gutbrain/resource/biomedicaltechnique/Dqii
38068763|expert_3|766|792|abstract|monounsaturated fatty acids|chemical|http://purl.obolibrary.org/obo/CHEBI_25413
38068763|expert_3|824|831|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
38068763|expert_3|940|950|abstract|Veillonella|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_29465
38068763|expert_3|956|964|abstract|Roseburia|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_841
38068763|expert_3|997|1025|abstract|Christensenellaceae R-7 group|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_990719
38068763|expert_3|1028|1042|abstract|Subdoligranulum|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_292632
38068763|expert_3|1045|1057|abstract|Oscillibacter|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_459786
38068763|expert_3|1064|1070|abstract|UCG-005|bacteria|http://purl.obolibrary.org/obo/NCBITaxon_3068309
38068763|expert_3|1138|1151|abstract|gut microbiota|microbiome|http://purl.obolibrary.org/obo/OHMI_0000463
38068763|expert_3|1354|1361|abstract|patients|human|https://www.ncbi.nlm.nih.gov/mesh/68010361
35965349|expert_7|28|49|title|chicken gut microbiome|microbiome|https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/PoultryGutMicrobiome
35965349|expert_7|59|81|title|dietary supplementation|dietary supplement|https://www.ncbi.nlm.nih.gov/mesh/68019587
35965349|expert_7|88|98|title|antibiotics|drug|http://purl.obolibrary.org/obo/NCIT_C258
35965349|expert_7|17|40|abstract|antimicrobial resistance|DDF|http://purl.obolibrary.org/obo/NCIT_C85562
