pmid	annotator	subject_uri	subject_label	predicate	object_uri	object_label
38068763	expert_3	http://purl.obolibrary.org/obo/OMIT_0005141	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
38068763	expert_3	https://uts.nlm.nih.gov/uts/umls/concept/C0234985	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
38068763	expert_3	http://purl.obolibrary.org/obo/NCIT_C92200	DDF	target	https://uts.nlm.nih.gov/uts/umls/concept/C0027361	human


35965349	expert_7	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	drug	change effect	http://purl.obolibrary.org/obo/NCIT_C3137	DDF
35965349	expert_7	https://uts.nlm.nih.gov/uts/umls/concept/C5702674	anatomical location	located in	http://purl.obolibrary.org/obo/NCBITaxon_8782	animal
35965349	expert_7	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	drug	impact	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/PoultryGutMicrobiome	microbiome
35965349	expert_7	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	drug	administered	http://purl.obolibrary.org/obo/NCBITaxon_8782	animal
35965349	expert_7	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	drug	impact	http://purl.obolibrary.org/obo/OHMI_0000020	microbiome


34870091	expert_4	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	located in	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
34870091	expert_4	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/IntestinalMicrobiome	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C3362	DDF
34870091	expert_4	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/IntestinalMicrobiome	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C78576	DDF
34870091	expert_4	http://purl.obolibrary.org/obo/NCIT_C3362	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
34870091	expert_4	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	located in	https://uts.nlm.nih.gov/uts/umls/concept/C0009932	human
34870091	expert_4	http://purl.obolibrary.org/obo/NCIT_C78576	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human


28158162	expert_2	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C89715	DDF
28158162	expert_2	http://purl.obolibrary.org/obo/NCIT_C89715	DDF	affect	http://purl.obolibrary.org/obo/NCIT_C3137	DDF
28158162	expert_2	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	dietary supplement	administered	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
28158162	expert_2	http://purl.obolibrary.org/obo/NCIT_C89715	DDF	affect	http://purl.obolibrary.org/obo/NCIT_C124639	DDF
28158162	expert_2	http://purl.obolibrary.org/obo/OMIT_0005457	DDF	affect	http://purl.obolibrary.org/obo/NCIT_C3137	DDF
28158162	expert_2	http://purl.obolibrary.org/obo/NCIT_C34661	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
28158162	expert_2	http://purl.obolibrary.org/obo/NCIT_C89715	DDF	affect	http://purl.obolibrary.org/obo/OMIT_0005457	DDF
28158162	expert_2	http://purl.obolibrary.org/obo/NCIT_C89715	DDF	affect	http://purl.obolibrary.org/obo/NCIT_C26696	DDF
28158162	expert_2	http://purl.obolibrary.org/obo/NCIT_C89715	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
28158162	expert_2	https://uts.nlm.nih.gov/uts/umls/concept/C0525033	dietary supplement	influence	http://purl.obolibrary.org/obo/NCIT_C89715	DDF
28158162	expert_2	https://uts.nlm.nih.gov/uts/umls/concept/C0017178	DDF	affect	http://purl.obolibrary.org/obo/NCIT_C34661	DDF
28158162	expert_2	https://uts.nlm.nih.gov/uts/umls/concept/C0017178	DDF	change abundance	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome
28158162	expert_2	https://uts.nlm.nih.gov/uts/umls/concept/C0017178	DDF	target	https://www.ncbi.nlm.nih.gov/mesh/68010361	human
28158162	expert_2	http://purl.obolibrary.org/obo/NCIT_C89715	DDF	change abundance	http://purl.obolibrary.org/obo/OHMI_0000463	microbiome
