pmid	annotator	subject_start_idx	subject_end_idx	subject_location	subject_text_span	subject_label	subject_uri	predicate	object_start_idx	object_end_idx	object_location	object_text_span	object_label	object_uri
38068763	expert_3	65	84	abstract	mental deterioration	DDF	https://uts.nlm.nih.gov/uts/umls/concept/C0234985	target	45	52	abstract	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
38068763	expert_3	251	264	abstract	mood disorders	DDF	http://purl.obolibrary.org/obo/NCIT_C92200	target	226	231	abstract	people	human	https://uts.nlm.nih.gov/uts/umls/concept/C0027361
38068763	expert_3	376	394	abstract	Depressive symptoms	DDF	http://purl.obolibrary.org/obo/OMIT_0005141	target	424	441	abstract	bariatric patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361


35965349	expert_7	151	178	abstract	antibiotic growth promotants	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	impact	323	336	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
35965349	expert_7	151	178	abstract	antibiotic growth promotants	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	change effect	434	445	abstract	inflammation	DDF	http://purl.obolibrary.org/obo/NCIT_C3137
35965349	expert_7	151	178	abstract	antibiotic growth promotants	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	impact	569	590	abstract	poultry gut microbiome	microbiome	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/PoultryGutMicrobiome
35965349	expert_7	181	184	abstract	AGPs	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	impact	323	336	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
35965349	expert_7	181	184	abstract	AGPs	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	change effect	434	445	abstract	inflammation	DDF	http://purl.obolibrary.org/obo/NCIT_C3137
35965349	expert_7	272	275	abstract	AGPs	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	impact	323	336	abstract	gut microbiome	microbiome	http://purl.obolibrary.org/obo/OHMI_0000020
35965349	expert_7	272	275	abstract	AGPs	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	change effect	434	445	abstract	inflammation	DDF	http://purl.obolibrary.org/obo/NCIT_C3137
35965349	expert_7	557	560	abstract	AGPs	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	impact	569	590	abstract	poultry gut microbiome	microbiome	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/PoultryGutMicrobiome
35965349	expert_7	969	982	abstract	AGP treatments	drug	https://w3id.org/XXXX/ontology/gutbrain/resource/drug/AntibioticGrowthPromotant	administered	921	925	abstract	Birds	animal	http://purl.obolibrary.org/obo/NCBITaxon_8782
35965349	expert_7	1282	1296	abstract	intestinal site	anatomical location	https://uts.nlm.nih.gov/uts/umls/concept/C5702674	located in	1266	1269	abstract	bird	animal	http://purl.obolibrary.org/obo/NCBITaxon_8782


34870091	expert_4	48	70	title	oral and gut microbiota	microbiome	http://purl.obolibrary.org/obo/OHMI_0000463	located in	75	82	title	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
34870091	expert_4	89	97	title	psychosis	DDF	http://purl.obolibrary.org/obo/NCIT_C78576	target	75	82	title	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
34870091	expert_4	102	114	title	schizophrenia	DDF	http://purl.obolibrary.org/obo/NCIT_C3362	target	75	82	title	patients	human	https://www.ncbi.nlm.nih.gov/mesh/68010361
34870091	expert_4	250	270	abstract	intestinal microbiome	microbiome	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/IntestinalMicrobiome	is linked to	294	302	abstract	psychosis	DDF	http://purl.obolibrary.org/obo/NCIT_C78576
34870091	expert_4	250	270	abstract	intestinal microbiome	microbiome	https://w3id.org/XXXX/ontology/gutbrain/resource/microbiome/IntestinalMicrobiome	is linked to	308	320	abstract	schizophrenia	DDF	http://purl.obolibrary.org/obo/NCIT_C3362
